,Name,IMDB,Metacritic,Rotten,Duriation,Cast,Similar,Reviews,Plot,Genre,Year,IMAGE,image
194,Sherlock Jr.,8.1,N/A,92,120 min,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire","When Comedy Was King (1960) , The Sheik (1921) , The Fog (1923) ,",Astounding Creativity @ Through the Movie Screen @ Anything but Elementary... @,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action, Adventure, Sci-Fi",1924,"https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY1200_CR65,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
195,Salinui chueok,8.1,82,N/A,116 min,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung","Body Heat (1981) , Biyeolhan geori (2006) , Rewind This! (2013) ,",The Shaman's Eyes @ The Slow Development of a Masterpiece @ Great serial killer drama @,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Drama,2003,"https://m.media-amazon.com/images/M/MV5BOGViNTg4YTktYTQ2Ni00MTU0LTk2NWUtMTI4OTc1YTM0NzQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOGViNTg4YTktYTQ2Ni00MTU0LTk2NWUtMTI4OTc1YTM0NzQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
196,Relatos salvajes,8.1,77,94,130 min,"Damián Szifron (dir.), Darío Grandinetti, María Marull","Flashdance (1983) , Cars (2006) , Estrenos Críticos: Ninja Turtles, The Equalizer, Relatos Salvajes, Magical Girl (2014) ,","I love, Love, LOVE this film. @ Big things have small beginnings @ The Edge Of Reason @",Six short stories that explore the extremities of human behavior involving people in distress.,"Adventure, Family, Fantasy",2014,"https://m.media-amazon.com/images/M/MV5BNGQzY2Y0MTgtMDA4OC00NjM3LWI0ZGQtNTJlM2UxZDQxZjI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY1200_CR113,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNGQzY2Y0MTgtMDA4OC00NjM3LWI0ZGQtNTJlM2UxZDQxZjI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR1,0,45,67_AL_.jpg"
197,Det sjunde inseglet,8.1,88,93,93 min,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand","Severed Ways: The Norse Discovery of America (2007) , Körkarlen (1921) , Smultronstället (1957) ,","A masterpiece @ The Quintessential Bergman Picture @ Chilling, audacious, and awe-inspiring. An undisputed masterpiece. @","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Biography, Drama, Family",1957,"https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR96,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY67_CR0,0,45,67_AL_.jpg"
198,Room,8.1,86,93,92 min,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay","The Oranges (2011) , The Tonight Show Starring Jimmy Fallon: Ben Stiller/Brie Larson/Damon Wayans (2014) , Saturday Night Live: Adam Driver/Chris Stapleton (2016) ,","Imagine yourself as a 5 year old child discovering for the first time a brand new world exists outside of your room @ The acting is phenomenal! @ A brilliant movie, but painful to watch @","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Animation, Comedy, Drama",2015,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UY67_CR0,0,45,67_AL_.jpg"
199,Mad Max: Fury Road,8.1,90,97,98 min,"George Miller (dir.), Tom Hardy, Charlize Theron","Mad Max (1979) , Mad Max Beyond Thunderdome (1985) , Untitled Mad Max Project (2022) ,",Pure action spectacle @ Finally yes Finally I have seen a good Action Film from 2015. Mad Max: Fury Road is the finest blockbuster of 2015! @ It Never Stops @,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Animation, Action, Adventure",2015,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
200,Mary and Max.,8.1,N/A,95,148 min,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman","The Man Who Knew Too Much (1956) , Alexis Zorbas (1964) , Yentl (1983) ,","Unforgettable and Heartbreaking Bleak Tale of Friendship and Loneliness @ Refreshing and engaging given the home-grown talent involved. @ Solitude, Isolation & Loneliness... @","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Adventure, Biography, Drama",2009,"https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR106,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
201,How to Train Your Dragon,8.1,75,99,132 min,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler","Dragons: Riders of Berk (2012) , Dragons: Race to the Edge (2015) , How to Train Your Dragon (2010) ,",A Nutshell Review: How to Train Your Dragon @ One of the most Breathtaking Animated Films of all time. @ Will enamour kids and enthrall adults @,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Drama, Sport",2010,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UY1200_CR88,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
202,The Big Lebowski,8.1,71,83,121 min,"Joel Coen (dir.), Jeff Bridges, John Goodman","The Making of 'The Big Lebowski' (1998) , 42nd Street (1933) , The Maltese Falcon (1941) ,",The film with the highest rewatchability factor of all time @ The Most Quotable Film of All Time @ My favourite Coen brothers movie and one of the most entertaining and original comedies ever made! @,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Biography, Drama, History",1998,"https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_UY1200_CR87,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_UX45_CR0,0,45,67_AL_.jpg"
203,"Monsters, Inc.",8.1,79,96,111 min,"Pete Docter (dir.), Billy Crystal, John Goodman","Monsters University (2013) , Monsters, Inc. (2001) , Monsters, Inc. Scream Team Training (2001) ,","Adorable, funny, perfect voice casting for the lead roles @ Does For Monsters What ""Toy Story"" Did For Toys! @ Adorable movie with top class entertainment. @","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation, Adventure, Comedy",2001,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
