,Name,IMDB,Metacritic,Rotten,Duriation,Cast,Similar,Reviews,Plot,Genre,Year,IMAGE,image
0,The Shawshank Redemption,9.2,81,91,142 min,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman","La Grande Illusion (1937) , Harvey (1950) , Un condamné à mort s'est échappé ou Le vent souffle où il veut (1956) ,",Some birds aren't meant to be caged. @ An incredible movie. One that lives with you. @ Don't Rent Shawshank. @,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,1994,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY1200_CR89,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
1,The Godfather,9.2,100,97,175 min,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino","The Godfather Part II (1974) , Aatank Hi Aatank (1995) , The Godfather: A Novel for Television (1977) ,","The Pinnacle Of Flawless Films! @ An offer so good, I couldn't refuse @ For Me, This Is The Definitive Film @",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Crime, Drama",1972,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR107,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"
2,The Dark Knight,9,84,94,152 min,"Christopher Nolan (dir.), Christian Bale, Heath Ledger","Batman Begins (2005) , The Dark Knight Rises (2012) , Batman (1943) ,",The Dark Knight @ The Batman of our dreams! So much more than a comic book movie @ This town deserves a better class of criminal! @,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama",2008,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
3,The Godfather Part II,9,90,96,201 min,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro","The Godfather (1972) , The Godfather Part III (1990) , Dinner for Five: Episode #1.10 (2002) ,",Breathtaking in its scope and tragic grandeur... @ A masterpiece that can never be beaten... @ The Greatest Sequel During the Cinema's History @,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Action, Adventure, Drama",1974,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR106,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"
4,12 Angry Men,9,96,100,195 min,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb","Studio One: Twelve Angry Men (1954) , Tolv edsvorne menn (1982) , 12 Angry Men (1997) ,","The over-used term ""classic movie"" really comes into its own here! @ No Dissonance @ What a Character-Study Is Meant to Be. @",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Biography, Drama, History",1957,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY1200_CR74,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
5,Schindler's List,8.9,94,98,202 min,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes","365 days, also known as a Year (2019) , Citizen Kane (1941) , Hotaru no haka (1988) ,",A three hour film that feels too short @ What he hell is wrong with the people that commented on the 1st 4 pages of reviews??? @ Awesome @,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Crime, Drama",1993,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
6,The Lord of the Rings: The Return of the King,8.9,94,93,96 min,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen","The Lord of the Rings: The Fellowship of the Ring (2001) , The Hobbit: An Unexpected Journey (2012) , The Hobbit: The Battle of the Five Armies (2014) ,",The best trilogy in the history of cinema @ All Good Things come to an End! @ Great @,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Crime, Drama",2003,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
7,Pulp Fiction,8.8,94,92,164 min,"Quentin Tarantino (dir.), John Travolta, Uma Thurman","You're Still Not Fooling Anybody (1997) , Propaganda (2012) , The Great Train Robbery (1903) ,",The masterpiece without a message @ A masterpiece of screenwriting @ The rebirth of a genre – and film history @,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama, Mystery",1994,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR97,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
8,The Lord of the Rings: The Fellowship of the Ring,8.8,92,91,154 min,"Peter Jackson (dir.), Elijah Wood, Ian McKellen","The Lord of the Rings: The Two Towers (2002) , The Hobbit: An Unexpected Journey (2012) , The Hobbit: The Battle of the Five Armies (2014) ,","First, And Still The Best Of LOTR @ The Fellowship of the Ring: Not just a Movie, but the Door to another Dimension @ Great @",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Crime, Drama",2001,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY1200_CR89,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg"
9,"Il buono, il brutto, il cattivo",8.8,90,N/A,148 min,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach","Per un pugno di dollari (1964) , Seytan tirnagi (1972) , Bellissimo: Immagini del cinema italiano (1985) ,","For a girl who doesn't enjoy westerns much, this was one of the greatest films ever! @ Brutal, brilliant, and one of the best Westerns ever made @ Sergio Leone's penultimate Italian-western; a film that gets better with each passing year... @",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Action, Adventure, Sci-Fi",1966,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
10,Forrest Gump,8.8,82,71,179 min,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright","Laal Singh Chaddha (2022) , The Birth of a Nation (1915) , 5 Second Movies: Forrest Gump (2009) ,","Let's see the world through the eyes of Forrest Gump @ In my opinion, no film has touched me more than this one..... @ A beautiful fable for now and the future @","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Action, Adventure, Drama",1994,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR99,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
11,Fight Club,8.7,66,79,139 min,"David Fincher (dir.), Brad Pitt, Edward Norton","The Arrivals (2008) , Owned & Operated (2012) , Fight Club (2004) ,",A great movie you can watch again and again @ Superb @ Fincher's tour de force is a bruising assault on the senses @,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,1999,"https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR89,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY67_CR0,0,45,67_AL_.jpg"
12,The Lord of the Rings: The Two Towers,8.7,87,95,178 min,"Peter Jackson (dir.), Elijah Wood, Ian McKellen","The Lord of the Rings: The Fellowship of the Ring (2001) , The Lord of the Rings: The Return of the King (2003) , The Hobbit: The Desolation of Smaug (2013) ,","An Epic in every sense of the word. @ ""There's some good in this world Mr. Frodo, and it's worth fighting for."" @ Great movie @","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama",2002,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR70,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
13,Inception,8.7,74,87,142 min,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt","The Paul Behragam Talk Show: ""Balto"" R&T Part 5 (2015) , Inception: The Cobol Job (2010) , Citizen Kane (1941) ,",A one-of-a-kind mind-blowing masterpiece! @ Is it possible the makers understand how incredible this film is? @ Inception was only less shocking to me than the Matrix @,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Drama, Romance",2010,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
14,The Empire Strikes Back,8.7,82,94,161 min,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford","Star Wars (1977) , Star Wars: Episode VI - Return of the Jedi (1983) , Star Wars: Episode II - Attack of the Clones (2002) ,","Excellent timeless classic, the best sequel of all time! @ All the fun of the original with a much better, darker plot @ A worthy second (or 5th??) Star Wars installment, might be the best of the bunch. @","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Adventure, Western",1980,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR70,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
15,The Matrix,8.7,73,88,136 min,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne","The Second Renaissance Part I (2003) , The Matrix Reloaded (2003) , The Second Renaissance Part II (2003) ,",Just wow @ Benchmark forever. @ The timeless classic. @,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi",1999,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR84,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
16,Goodfellas,8.7,90,96,145 min,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta","Video Macumba (1991) , Apaga y vámonos: Episode #1.4 (2013) , Goodfellas ,",In one word: perfection @ An Offer You Can't Refuse... @ The best mobster film ever made @,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography, Crime, Drama",1990,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
17,One Flew Over the Cuckoo's Nest,8.6,84,93,124 min,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher","Ratched (2020) , Thalavattam (1986) , Kyon Ki... (2005) ,","Both uplifting and disheartening, sometimes both at once @ The spirit of freedom vs. the spirit of legal-ism @ Touching and moving, a great cinematic experience @","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Action, Adventure, Fantasy",1975,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR88,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
18,Se7en,8.6,65,82,133 min,"David Fincher (dir.), Morgan Freeman, Brad Pitt","L'affaire Caravage (2019) , Pyshka (1934) , The Night of the Hunter (1955) ,","Very grim and disturbing but you can't stop watching @ A brilliant postmodern film noir that is grim, intelligent and disturbing @ Dark and disturbing thriller that will stay with you for ever. @","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Drama,1995,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR69,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
19,Shichinin no samurai,8.6,98,100,169 min,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura","The Magnificent Seven (1960) , Liu he qian shou (1979) , I sette magnifici gladiatori (1983) ,",Solid Gold @ Story-Telling At Its Finest @ Kurosawa's triumphant epic- totally & successfully driven by character and story @,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the village is attacked by an army of bandits.","Adventure, Drama, Sci-Fi",1954,"https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UY1200_CR112,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UY67_CR1,0,45,67_AL_.jpg"
20,It's a Wonderful Life,8.6,89,93,130 min,"Frank Capra (dir.), James Stewart, Donna Reed","It's a Wonderful Life: The Rest of the Story , It Happened One Christmas (1977) , It Happened One Christmas (1977) ,","""To My Big Brother George, The Richest Man In Town"" @ A Great Influence... @ One of those quintessential Christmas movies.... @",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Crime, Drama",1946,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY1200_CR97,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY67_CR0,0,45,67_AL_.jpg"
21,The Silence of the Lambs,8.6,85,95,125 min,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins","Hannibal (2001) , Hannibal Rising (2007) , Sangharsh (1999) ,","Dr.Lecter, I'd like to see you again... @ In a Class by Itself @ A Story And A Character That You Can't Forget @","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Animation, Adventure, Family",1991,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR91,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
22,Cidade de Deus,8.6,79,91,169 min,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino","Brava Gente: Palace II (2000) , Cidade dos Homens (2002) , Cidade dos Homens (2007) ,","A Brazilian masterwork @ Gangs of Rio @ Magnificent, gut-wrenching and utterly compelling @","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Drama, War",2002,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR87,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
23,Saving Private Ryan,8.6,91,94,189 min,"Steven Spielberg (dir.), Tom Hanks, Matt Damon","Steamboat Willie (1928) , Shichinin no samurai (1954) , The Longest Day (1962) ,","Hard to Rate ... been there @ The only movie my grandfather couldn't finish @ ""Sergeant, we have crossed some strange boundary here. Our world has taken a turn for the surreal"". @","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Crime, Drama, Fantasy",1998,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY1200_CR93,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
24,La vita è bella,8.6,59,81,116 min,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi","The Great Dictator (1940) , Ladri di biciclette (1948) , 8½ (1963) ,","Love is Beautiful... @ Funny, entertaining, and amazingly intense and dramatic. @ Outstanding @","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance",1997,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR87,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
25,Interstellar,8.6,74,73,127 min,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway","2001: A Space Odyssey (1968) , Zerkalo (1975) , Reds (1981) ,",Out of this world @ A visual and auditory marvel @ I waited 5 years to watch it again @,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Crime, Drama, Mystery",2014,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
26,The Green Mile,8.6,61,79,137 min,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan","Little Black Sambo (1935) , To Kill a Mockingbird (1962) , Dead Man Walking (1995) ,","One of the most penetrating films of the past several years. **** out of **** @ "" I knows you think I's a powerful man, but the darkness scares me boss "" @ 'm sorry for what I am @","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Action, Sci-Fi",1999,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UY67_CR0,0,45,67_AL_.jpg"
27,Star Wars,8.6,90,N/A,118 min,"George Lucas (dir.), Mark Hamill, Harrison Ford","The Empire Strikes Back (1980) , Star Wars: Episode I - The Phantom Menace (1999) , Star Wars: Episode III - Revenge of the Sith (2005) ,","One of the most successful movies of all time (and I'm not talking about the Box Office take) @ A classics, phenomenal and arguably the best sci-fi flick masterpiece! @ Legendary piece of cinema @","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Crime, Drama, Thriller",1977,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UY1200_CR77,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UX45_CR0,0,45,67_AL_.jpg"
28,Terminator 2: Judgment Day,8.5,75,93,121 min,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton","The Terminator (1984) , Terminator 3: Rise of the Machines (2003) , Terminator Genisys (2015) ,",Note to Hollywood: This is how you make an action film. @ Movie that everyone should see! @ This is the sequel that dreams are made of. @,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg.","Action, Adventure, Fantasy",1991,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR88,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
